date,fii_net,dii_net,total_net,signal
2008-09-15,-763.02,1328.14,565.1200000000001,-1
2008-09-16,-1303.41,612.36,-691.0500000000001,-1
2008-09-17,-1064.17,948.93,-115.24000000000012,-1
2008-09-18,-1201.64,1192.2,-9.440000000000055,-1
2008-09-19,1016.18,43.91,1060.09,1
2008-09-22,138.21,-206.12,-67.91,1
2008-09-23,-924.4,68.77,-855.63,-1
2008-09-24,-494.4,170.18,-324.21999999999997,-1
2008-09-25,-1050.38,605.59,-444.7900000000001,-1
2008-09-26,-643.04,543.57,-99.46999999999991,-1
2008-09-29,-476.94,554.82,77.88000000000005,-1
2008-09-30,14.16,394.11,408.27000000000004,1
2008-10-01,-253.34,388.73,135.39000000000001,-1
2008-10-03,-1248.04,758.79,-489.25,-1
2008-10-04,-462.34,594.48,132.14000000000004,-1
2008-10-06,-910.16,296.39,-613.77,-1
2008-10-07,-551.67,-112.46,-664.13,-1
2008-10-09,-1037.28,492.56,-544.72,-1
2008-10-10,-2513.74,1744.68,-769.0599999999997,-1
2008-10-11,92.33,377.66,469.99,1
2008-10-12,950.65,-59.01,891.64,1
2008-10-13,-1060.6,582.31,-478.28999999999996,-1
2008-10-14,898.25,-252.37,645.88,1
2008-10-15,-1030.79,669.96,-360.8299999999999,-1
2008-10-16,-1160.63,737.77,-422.8600000000001,-1
2008-10-17,-915.54,712.77,-202.76999999999998,-1
2008-10-20,-816.79,216.43,-600.3599999999999,-1
2008-10-21,-258.42,883.76,625.3399999999999,-1
2008-10-22,-543.95,404.05,-139.90000000000003,-1
2008-10-23,-811.69,619.91,-191.7800000000001,-1
2008-10-24,-1431.56,514.26,-917.3,-1
2008-10-27,-1027.3,916.18,-111.12,-1
2008-10-28,-69.18,24.78,-44.400000000000006,-1
2008-10-29,-1306.35,739.66,-566.6899999999999,-1
2008-10-31,1237.21,-116.1,1121.1100000000001,1
2008-11-01,107.4,1.92,109.32000000000001,1
2008-11-02,-1268.67,-22.27,-1290.94,-1
2008-11-03,-539.24,303.36,-235.88,-1
2008-11-04,-173.0,326.04,153.04000000000002,-1
2008-11-06,-217.27,546.47,329.20000000000005,-1
2008-11-07,-467.67,214.74,-252.93,-1
2008-11-08,280.61,505.3,785.9100000000001,1
2008-11-09,-1506.96,586.59,-920.37,-1
2008-11-11,-370.95,229.12,-141.82999999999998,-1
2008-11-12,444.18,-15.37,428.81,1
2008-11-14,-811.52,-25.15,-836.67,-1
2008-11-17,-521.16,-178.23,-699.39,-1
2008-11-18,-441.59,458.6,17.010000000000048,-1
2008-11-19,-264.98,195.71,-69.27000000000001,-1
2008-11-20,-762.94,426.95,-335.99000000000007,-1
2008-11-21,-705.56,46.22,-659.3399999999999,-1
2008-11-24,-560.83,224.9,-335.93000000000006,-1
2008-11-25,-161.88,155.09,-6.789999999999992,-1
2008-11-26,-416.82,362.05,-54.76999999999998,-1
2008-11-28,168.54,621.24,789.78,1
2008-12-02,-498.06,351.16,-146.89999999999998,-1
2008-12-03,127.94,-528.06,-400.11999999999995,1
2008-12-05,-210.57,241.01,30.439999999999998,-1
2008-12-06,-1211.2,500.44,-710.76,-1
2008-12-08,-687.19,-7.65,-694.84,-1
2008-12-09,-1497.67,695.41,-802.2600000000001,-1
2008-12-11,-735.14,215.48,-519.66,-1
2008-12-12,-16.52,325.81,309.29,-1
2008-12-15,230.48,42.72,273.2,1
2008-12-16,6.42,-39.4,-32.98,1
2008-12-17,-188.65,-97.82,-286.47,-1
2008-12-18,-33.17,-355.99,-389.16,-1
2008-12-19,378.43,410.85,789.28,1
2008-12-22,-191.49,207.55,16.060000000000002,-1
2008-12-23,-264.05,88.18,-175.87,-1
2008-12-24,-144.26,613.98,469.72,-1
2008-12-26,-344.91,-6.95,-351.86,-1
2008-12-29,4.42,243.21,247.63,1
2008-12-30,214.95,375.65,590.5999999999999,1
2008-12-31,81.85,373.96,455.80999999999995,1
2009-01-01,92.04,160.41,252.45,1
2009-01-04,173.75,11.6,185.35,1
2009-01-06,279.67,-196.74,82.93,1
2009-01-07,185.58,-76.38,109.20000000000002,1
2009-01-09,-635.94,366.89,-269.05000000000007,-1
2009-01-10,976.46,-331.63,644.83,1
2009-01-12,579.09,-125.07,454.02000000000004,1
2009-01-13,-345.78,152.58,-193.19999999999996,-1
2009-01-14,91.44,10.98,102.42,1
2009-01-15,-484.33,175.12,-309.21,-1
2009-01-16,-585.41,400.73,-184.67999999999995,-1
2009-01-19,-363.37,275.97,-87.39999999999998,-1
2009-01-20,-308.15,185.05,-123.09999999999997,-1
2009-01-21,-786.62,282.73,-503.89,-1
2009-01-22,-304.45,3.96,-300.49,-1
2009-01-23,-522.91,203.98,-318.92999999999995,-1
2009-01-27,-228.56,139.64,-88.92000000000002,-1
2009-01-28,-217.32,601.88,384.56,-1
2009-01-29,-84.64,580.11,495.47,-1
2009-01-30,-64.15,398.39,334.24,-1
2009-02-01,121.18,238.52,359.70000000000005,1
2009-02-02,-125.68,-161.38,-287.06,-1
2009-02-03,-580.43,334.13,-246.29999999999995,-1
2009-02-04,691.56,254.71,946.27,1
2009-02-06,-233.29,-424.14,-657.43,-1
2009-02-07,247.26,212.65,459.90999999999997,1
2009-02-12,885.65,-213.64,672.01,1
2009-02-13,-13.15,216.37,203.22,-1
2009-02-16,-45.33,189.52,144.19,-1
2009-02-17,-462.21,278.42,-183.78999999999996,-1
2009-02-18,-288.45,102.34,-186.10999999999999,-1
2009-02-19,-363.48,108.44,-255.04000000000002,-1
2009-02-20,-201.17,167.18,-33.98999999999998,-1
2009-02-24,-431.18,358.71,-72.47000000000003,-1
2009-02-25,-384.37,367.84,-16.53000000000003,-1
2009-02-26,-273.94,344.53,70.58999999999997,-1
2009-02-27,-463.03,649.26,186.23000000000002,-1
2009-03-02,-278.89,-7.75,-286.64,-1
2009-03-03,-741.33,523.57,-217.76,-1
2009-03-06,32.8,52.89,85.69,1
2009-03-07,210.82,298.58,509.4,1
2009-03-08,347.01,61.01,408.02,1
2009-03-09,-72.69,382.49,309.8,-1
2009-03-11,-874.26,751.95,-122.30999999999995,-1
2009-03-12,334.07,-199.91,134.16,1
2009-03-13,299.23,392.68,691.9100000000001,1
2009-03-16,-102.34,253.39,151.04999999999998,-1
2009-03-17,415.12,-152.7,262.42,1
2009-03-18,222.14,526.34,748.48,1
2009-03-19,23.0,-18.75,4.25,1
2009-03-20,-149.18,-94.03,-243.21,-1
2009-03-23,376.23,376.51,752.74,1
2009-03-24,501.76,-192.99,308.77,1
2009-03-25,348.65,8.92,357.57,1
2009-03-26,1290.74,-461.87,828.87,1
2009-03-27,80.43,42.98,123.41,1
2009-03-30,-452.32,-49.38,-501.7,-1
2009-03-31,-583.65,1039.07,455.41999999999996,-1
2009-04-02,-27.08,284.0,256.92,-1
2009-04-03,-494.22,118.86,-375.36,-1
2009-04-05,1417.28,-92.6,1324.68,1
2009-04-06,465.34,-530.2,-64.86000000000007,1
2009-04-08,219.1,253.29,472.39,1
2009-04-09,-399.92,-5.35,-405.27000000000004,-1
2009-04-11,234.31,557.19,791.5,1
2009-04-12,198.14,-56.64,141.5,1
2009-04-13,580.49,-152.25,428.24,1
2009-04-15,684.5,290.22,974.72,1
2009-04-16,479.09,-1124.24,-645.1500000000001,1
2009-04-17,669.85,182.7,852.55,1
2009-04-20,348.05,108.9,456.95000000000005,1
2009-04-21,-191.01,-187.69,-378.7,-1
2009-04-22,-0.83,82.25,81.42,-1
2009-04-23,241.13,425.83,666.96,1
2009-04-24,576.77,15.31,592.0799999999999,1
2009-04-27,257.38,68.06,325.44,1
2009-04-28,-256.85,-202.15,-459.0,-1
2009-04-29,365.23,-403.99,-38.75999999999999,1
2009-05-01,469.56,220.82,690.38,1
2009-05-02,-26.97,-100.72,-127.69,-1
2009-05-03,-590.92,479.04,-111.87999999999994,-1
2009-05-05,508.51,-129.85,378.65999999999997,1
2009-05-06,831.95,-480.13,351.82000000000005,1
2009-05-08,-690.53,-23.9,-714.43,-1
2009-05-10,-310.01,-567.75,-877.76,-1
2009-05-11,126.94,199.5,326.44,1
2009-05-13,4106.96,105.73,4212.69,1
2009-05-14,-301.92,254.3,-47.620000000000005,-1
2009-05-15,983.86,432.47,1416.33,1
2009-05-18,44.64,-8.41,36.230000000000004,1
2009-05-19,4792.56,-1964.19,2828.3700000000003,1
2009-05-20,-985.53,4.99,-980.54,-1
2009-05-21,-2.14,-371.48,-373.62,-1
2009-05-22,-761.66,434.53,-327.13,-1
2009-05-25,427.97,197.68,625.6500000000001,1
2009-05-26,-197.02,-138.19,-335.21000000000004,-1
2009-05-27,369.8,685.64,1055.44,1
2009-05-28,1859.59,-451.25,1408.34,1
2009-05-29,272.77,873.0,1145.77,1
2009-06-01,374.02,-11.81,362.21,1
2009-06-02,117.23,131.67,248.89999999999998,1
2009-06-03,-274.68,298.94,24.25999999999999,-1
2009-06-04,196.74,-81.76,114.98,1
2009-06-05,530.92,-28.26,502.65999999999997,1
2009-06-07,-1483.03,815.71,-667.3199999999999,-1
2009-06-08,-371.41,257.4,-114.01000000000005,-1
2009-06-10,-156.97,-767.57,-924.5400000000001,-1
2009-06-11,587.02,236.62,823.64,1
2009-06-15,-411.54,-586.63,-998.1700000000001,-1
2009-06-16,-728.51,145.12,-583.39,-1
2009-06-17,-363.99,569.1,205.11,-1
2009-06-18,-584.87,538.89,-45.98000000000002,-1
2009-06-19,-29.08,413.2,384.12,-1
2009-06-22,-300.29,413.74,113.44999999999999,-1
2009-06-23,-654.97,318.42,-336.55,-1
2009-06-24,-791.85,728.26,-63.59000000000003,-1
2009-06-25,-1482.82,1118.05,-364.77,-1
2009-06-26,551.14,333.95,885.0899999999999,1
2009-06-29,292.44,143.84,436.28,1
2009-06-30,107.88,197.98,305.86,1
2009-07-01,-1111.25,-505.49,-1616.74,-1
2009-07-05,388.33,42.4,430.72999999999996,1
2009-07-07,-921.39,790.16,-131.23000000000002,-1
2009-07-08,-1050.81,414.43,-636.3799999999999,-1
2009-07-09,1060.62,149.96,1210.58,1
